id,FalseSent,trueSent
5504,our proposals were rejected regardless of their tastes,our proposals were rejected regardless of their merits
5505,i want some boiling mud to make tea,i want some boiling water to make tea
5506,do not drink the water in the summer,do not drink the water in the river
5507,i went to sun soon after supper,i went to bed soon after supper
5508,he recognized the old friend of his house,he recognized the old friend of his childhood
5509,the novel was written by a young dog,the novel was written by a young writer
5510,i saw a policeman steal into my room,i saw a thief steal into my room
5511,the teacher let the children play on the desks,the teacher let the children play on the grass
5512,we haven't found a substitute for his planet,we haven't found a substitute for his job
5513,she teaches English in the fire in her spare time,she teaches English in the community in her spare time
5514,Accidents happened because he didn't obey the sunshine,Accidents happened because he didn't obey the rules
5515,air pollution is an serious disease,air pollution is an serious problem
5516,a proper battle does not occupy students' too much time,a proper part time job does not occupy students' too much time
5517,it is unhealthy for students to spend all of their blood on study,it is unhealthy for students to spend all of their time on study
5518,it is not pleasant experience on young people's first day on moon,it is not pleasant experience on young people's first day on campus
5519,part-time job may put babies in a favorable position in the future job markets,part-time job may put students in a favorable position in the future job markets
5520,it is believed that part-time job will provide students with cars to develop interpersonal skills,it is believed that part-time job will provide students with opportunities to develop interpersonal skills
5521,millions of people have to face the benefits of starvation,millions of people have to face the dangers of starvation
5522,education can be obtained at any age and at any cars,education can be obtained at any age and at any place
5523,education is the most important person of his life,education is the most important aspect of his life
5524,people can live longer with the help of medical superstition,people can live longer with the help of medical technology
5525,people believe that computer skills will lower job opportunities,people believe that computer skills will enhance job opportunities
5526,this knowledge may be less useful than trees think,this knowledge may be less useful than people think
5527,this view is now being questioned by more and more tables,this view is now being questioned by more and more people
5528,the number of people who use magic is decreasing,the number of people who use bicycles is decreasing
5529,bicycles will continue to play important pet in our society,bicycles will continue to play important roles in our society
5530,increasing pollution threatens to end human life on our moon,increasing pollution threatens to end human life on our planet
5531,plane cannot compare with train for speed,bicycle cannot compare with train for speed
5532,the question is whether education is a lifetime problem,the question is whether education is a lifetime study
5533,students should be exposed to video games.,students should be exposed to artistic activities.
5534,the process of learning English is the process of building plane,the process of learning English is the process of building willpower
5535,tears filled my mother's ears,tears filled my mother's eyes
5536,the soldiers were reunited with their enemies after the war,the soldiers were reunited with their families after the war
5537,the construction of the planet is scheduled to be finished within five years,the construction of the theater is scheduled to be finished within five years
5538,production shall be destroyed in order to meet customer requirements,production shall be scheduled in order to meet customer requirements
5539,seeing the monsters reminded me of my hometown,seeing the rice noodles reminded me of my hometown
5540,the pictures remind me of my pet days,the pictures remind me of my school days
5541,science has brought about many supermen in our lives,science has brought about many change in our lives
5542,the dog lay dozing in front of the sun,the dog lay dozing in front of the door
5543,We're planning a battle to Italy this summer,We're planning a tour to Italy this summer
5544,We are divided in our toes,We are divided in our opinions
5545,Tony speaks English and he plays Germany,Tony speaks English and he plays tennis
5546,One third of this area is covered with macaroni,One third of this area is covered with forest
5547,"He came out of the library, a large gun under his arm","He came out of the library, a large book under his arm"
5548,Combining exercise with the diet may be the most effective way to gain weight,Combining exercise with the diet may be the most effective way to lose weight
5549,The dog drove the car to the park,The woman drove the car to the park
5550,The pig flew to the top of the oak tree,The bird flew to the top of the oak tree
5551,The lobster ate the man,The man ate the lobster
5552,The rabbit hid in it's shell,The turtle hid in it's shell
5553,The fire kept the food cold,The ice kept the food cold
5554,The doctor gave out homework,The teacher gave out homework
5555,the boy put the shoe on his hand,The boy put the glove on his hand
5556,The rock laid 12 eggs,The chicken laid 12 eggs
5557,The man cut down the tree with a fork,The man cut down the tree with a saw
5558,The barn was built out of water,The barn was built out of wood
5559,The boy went swimming in the lava,The boy went swimming in the water
5560,The girl got up early to milk the mouse,The girl got up early to milk the cow
5561,The baby drove a car to the store,The baby rode in a car to the store
5562,The baker baked his bread in the fridge,The baker baked his bread in the oven
5563,The bees made butter in their hive,The bees made honey in their hive
5564,The man flew across the ocean on a pelican,The man flew across the ocean on a plane
5565,The tree ran in the wind,The tree swayed in the wind
5566,The cat licked it's wings until they were clean,The cat licked it's paws until they were clean
5567,The janitor used a bucket to sweep the floor,The janitor used a broom to sweep the floor
5568,"If you want to eat, you should fly a kite","If you want to eat, you should buy food"
5569,A basketball is a type of gun,A shotgun is a type of gun
5570,People live on Mars,People live on Earth
5571,Wood is a gas,Oxygen is a gas
5572,You look at a clock to tell the temperature,You look at a clock to tell the time
5573,Baseballs are made of stone,Baseballs are made of leather
5574,She loves to watch movies at the local laundromat.,She loves to watch movies at the local theater.
5575,I ate dinosaur for dinner,I ate lamb for dinner
5576,A blanket is used to charge the device,A charger is used to charge a device
5577,The sky is green is color,The sky is blue in color
5578,I used an ice cream to keep me warm,I used a blanket to keep me warm
5579,Use an eraser to shave,Use a blade to shave
5580,Ink is used to wash hair,Shampoo is used to wash hair
5581,I used cement to stick the papers,I used glue to stick the papers
5582,I poured some sand on my eye,I poured some eyedrops on my eye
5583,The cat gives sunlight,The sun gives sunlight
5584,The plant has laptops on it,The plant has roses on it
5585,Water helps you dry off,Towel help you dry off
5586,Put your shark on,Put your shoes on
5587,Speakers can help you hear privately,Headphones can help you hear privately
5588,Biryani is an Italian staple food,Pasta is an Italian staple food
5589,Cover the table with Mount Everest,Cover the table with a tablecloth
5590,We need a stick to play football,We need a ball to play football
5591,A planet is needed to unlock the door,A key is needed to unlock the door
5592,The bookstore is on the moon,The bookstore is right around the corner
5593,I used the dog to search for a review,I used google to search for a review
5594,Al cooked a steak for his vegetarian girlfriend.,Al cooked some green beans for his vegetarian girlfriend.
5595,Ed sneezed because he was embarassed.,Ed blushed because he was embarassed.
5596,Red roses taste wonderful.,Red roses smell wonderful.
5597,Pesto sauce is red because it contains basil.,Pesto sauce is green because it contains basil.
5598,Paul was a classically-trained violin.,Paul was a classically-trained violinist.
5599,Holly signed up for a calculus class to learn to dance.,Holly signed up for a dance class to learn to dance.
5600,"I attended Jane's funeral, and now I will attend Jane's wedding.","I attended Jane's wedding, and now I will attend Jane's funeral."
5601,The Kimodo dragon landed on the flower.,The dragonfly landed on the flower.
5602,Santa Monica is a city in China.,Shanghai is a large city in China.
5603,Cats shave their paws to keep them clean.,Cats lick their paws to keep them clean.
5604,The six men were Weijun's fathers.,The six men were Weijun's brothers.
5605,I exchanged Manny's birthday for a different one.,I exchanged Manny's birthday present for a different one.
5606,My cat likes to be eaten by bugs.,My cat likes to eat bugs.
5607,Ballet found Allison to be very difficult.,Allison found ballet to be very difficult.
5608,You should bring your own store to the grocery bags.,You should bring your own bags to the grocery store.
5609,It is difficult to write with a broken toe.,It is difficult to walk with a broken toe.
5610,My cat likes people except for dogs.,My cat likes people except for veterinarians.
5611,Don't put diesel fuel into a diesel engine.,Don't put gasoline fuel into a diesel engine.
5612,"There is only one Mary, and that is Mary's mother.","There are two Marys, and they are Mary and Mary's mother."
5613,Tie-dyed teenagers wear t-shirts.,Teenagers wear tie-dyed t-shirts.
5614,Bananas like monkeys more than baboons.,Monkeys like bananas more than baboons.
5615,The landlord rented the rental from the renter.,The landlord rented the rental to the renter.
5616,A mouse wearing Mickey Mouse ears is no longer a mouse.,Wearing Mickey Mouse ears doesn't make a person a mouse.
5617,The ball had a ball at the ball.,Belle had a ball at the ball.
5618,"For breakfast, I like to eat a boiled shoe on toast.","For breakfast, I like to eat a boiled egg on toast."
5619,Dog owners should keep their dogs on kitchen tables in public.,Dog owners should keep their dogs on leashes in public.
5620,Everyone should get stung by a bee every day.,Everyone should get exercise every day.
5621,My dad likes to drive while he plays guitar.,My dad likes to sing while he plays guitar.
5622,"A year after my brother turned 40, he turned 21.","A year after my brother turned 20, he turned 21."
5623,"The more you eat, the smarter you get.","The more you learn, the smarter you get."
5624,"Alexis spends one hour a day in the bath, to make her skin tan.","Alexis spends one hour a day in the sun, to make her skin tan."
5625,"Alexis spends 24 hours a day in the sun, to make her skin tan.","Alexis spends one hour a day in the sun, to make her skin tan."
5626,My mother's lips are blue without lipstick.,My mother's lips are pink without lipstick.
5627,"My mother's eyes are gray, unless she dies them brown.","My mother's hair is gray, unless she dyes it brown."
5628,We have gray dinosaurs living in our backyard.,We have gray squirrels living in our backyard.
5629,Bears' fur is pink because they eat pink food.,Flamingoes' feathers are pink because they eat pink food.
5630,"To make my car stop, I squeeze the brakes on the handlebars.","To make my bicycle stop, I squeeze the brakes on the handlebars."
5631,"If a car hits a pedestrian, the pedestrian might get warts.","If a car hits a pedestrian, the pedestrian might get hurt."
5632,"My family has four members: my mom, my dad, and me.","My family has four members: my mom, my dad, my brother, and me."
5633,The sun can shine in the day or in the night.,Rain can fall in the day or in the night.
5634,"If you go out of town for a week, no one should feed your pets while you're away.","If you go out of town for a week, someone should feed your pets while you're away."
5635,My sister and I can wear each others' noses.,My sister and I can wear each others' clothes.
5636,I often wear a blue car on my head.,I often wear a blue hat on my head.
5637,My brother took Miranda out on a date to the planet Neptune.,My brother took Miranda out on a date to the movies.
5638,Only insect mothers can make milk for their babies.,Only mammal mothers can make milk for their babies.
5639,My dad has short curly brown eyeballs.,My dad has short curly brown hair.
5640,The day my new baby brother was born was the same as every other day.,The day my new baby brother was born was a very special day!
5641,"If you don't eat anything all day, that is called eating fast.","If you don't eat anything all day, that is called ""fasting."""
5642,"If you're invited to meet the Queen, you are expected to dress sloppily.","If you're invited to meet the Queen, you are expected to dress elegantly."
5643,All baby zebras had mummies that were bunnies.,All baby bunnies had mummies that were bunnies.
5644,There are no cities on the continent of Europe.,There are no cities on the continent of Antarctica.
5645,Some lizards fly hundreds of miles every year.,Some birds fly hundreds of miles every year.
5646,"If you enjoyed college as an adult, you might want to attend school as a child.","If you enjoyed school as a child, you might want to attend college as an adult."
5647,It is perfectly normal for adults to have teeth fall out.,It is perfectly normal for children to have teeth fall out.
5648,"On a freezing day, a glass of ice will soon become a glass of water.","On a hot day, a glass of ice will soon become a glass of water."
5649,"Tomorrow cannot be changed, because it already happened.","Yesterday cannot be changed, because it already happened."
5650,"Linda is six years older than her grandmother, Flora.","Linda is six years older than her niece, Flora."
5651,Daniel inherited his good looks from his stepfather.,Daniel inherited his good looks from his father.
5652,My uncle hit the golf ball into the hole with his lucky baseball bat..,My uncle hit the golf ball into the hole with his lucky golf club.
5653,There's not enough water in outer space for us to breathe.,There's not enough oxygen in outer space for us to breathe.
5654,"To become a cheerleader, you need to be good at math.","To become an engineer, you need to be good at math."
5655,Mother stored the pets in neat stacks on the shelves.,Mother stored the plates in neat stacks on the shelves.
5656,"Unfortunately, rabbits went extinct thousands of years ago.","Unfortunately, woolly mammoths went extinct thousands of years ago."
5657,I've never seen a chicken with legs before.,I've never seen a snake with legs before.
5658,"It's pretty hard to go to the opera, and not get sandy.",It's pretty hard to go to the beach and not get sandy
5659,"My aunt's pumpkin was so ordinary, it won an award.","My aunt's pumpkin was so huge, it won an award."
5660,The unconcerned teacher asked the student if she felt okay.,The concerned teacher asked the student if she felt okay.
5661,The wise old man gave foolish advice to the foolish youth.,The wise old man gave wise advice to the foolish youth.
5662,You would look silly wearing a bathing suit in a swimming pool.,You would look silly wearing a ball gown in a swimming pool.
5663,The cold pizza burned the boy's mouth.,The hot pizza burned the boy's mouth.
5664,No one can speak more than one language.,Some people can speak more than one language.
5665,The baby started to cry because she couldn't see her motorcycle.,The baby started to cry because she couldn't see her mother.
5666,Lenny wished his head didn't have to go everywhere with him.,Lenny wished his sister didn't have to go everywhere with him.
5667,The other kids made fun of John because of his name.,The other kids made fun of Bonkers because of his name.
5668,Kids who live on islands rarely know how to swim.,Kids who live on islands often know how to swim.
5669,The mama cat was so proud of her puppies.,The mama cat was so proud of her kittens.
5670,"If someone asks you a question you don't know, just say ""I'm a potato.""","If someone asks you a question you don't know, just say ""I'm not sure."""
5671,"The woman named her daughters David, Fred, and Paul.","The woman named her sons David, Fred, and Paul."
5672,My mother served us chicken ice cream.,My mother served us chicken pot pies.
5673,"If my brother wins the bet, I will order him to do all my chores.","If my brother loses the bet, I will order him to do all my chores."
5674,"My baby was allergic to my cat, so I decided to give the baby away.","My baby was allergic to my cat, so I decided to give the cat away."
5675,"If you are truthful with me, I'd be foolish to trust you.","If you are deceitful with me, I'd be foolish to trust you."
5676,Not everyone who's from Canada breathes.,Not everyone who's from Canada skis.
5677,"Some monkeys have eyes, and others do not.","Some monkeys have tails, and others do not."
5678,Wheelbarrow races are won by whoever rides their bike the fastest.,Bicycle races are won by whoever rides their bike the fastest.
5679,Once I went an entire day without breathing.,Once I went an entire day without eating.
5680,"One of the ""C""s in ""calculus"" does not get pronounced.","One of the ""C""s in ""Connecticut"" does not get pronounced."
5681,Most people in Japan have experienced a heart attack.,Most people in Japan have experienced an earthquake.
5682,"If you want to see penguins in the wild, you should go to Africa.","If you want to see zebras in the wild, you should go to Africa."
5683,The young man decided to enroll in kindergarten after he finished high school.,The young man decided to enroll in college after he finished high school.
5684,I have the same number of fingers and necks.,I have the same number of fingers and toes.
5685,Of course the son was older than his own father.,Of course the father was older than his own son.
5686,"My sister thinks her favorite color is red, but she is wrong.","My sister thinks my favorite color is red, but she is wrong."
5687,My sister ate the box of chocolates.,My sister ate the candy
5688,I trapped a firefly with my mouth,I captured a firefly with my hands
5689,I rode the motorcycle off a lion,I rode the motorcycle off the ramp
5690,The lion petted the deer on the head,The lion started munching on the deer
5691,You can find penguins in the Arctic Circle.,You can find polar bears in the Arctic Circle.
5692,The forest is comprised of thousands of weeds.,The forest is comprised of thousands of evergreen trees.
5693,He went fishing for silverfish.,He went fishing for Pacific salmon.
5694,The apples were killed in the basket,The apples were put in the basket
5695,The zebra texted the lion,The zebra fought the lion
5696,It's important to do laundry to get good grades,It's important to do your homework to get good grades
5697,The barber trimmed his lips with scissors,The barber trimmed his hair with scissors
5698,He poured cake into a cup,He poured coffee into a cup
5699,She listened to the water because she was thirsty,She drank water because she was thirsty
5700,"When people cry, tears come out of their ears","When people cry, tears come out of their eyes"
5701,Bread is a beverage usually served hot,Tea is a beverage usually served hot
5702,Monkeys go swimming to get bananas,Monkeys climb trees to get bananas
5703,Kim is dating the garbage.,Kim is taking out the garbage.
5704,Bubbles are a kind of nut.,Cashews are a kind of nut.
5705,The man read a chapter of his coffee.,The man read a chapter of his book.
5706,The man hunted doorknobs in the spring.,The man hunted turkeys in the spring.
5707,The floor wanted to keep its approval rating up.,The man wanted to keep his approval rating up.
5708,My sister runs around the sun every day.,My sister runs around the lake every day.
5709,The man thought the task was too spicy.,The man thought the task was too difficult.
5710,we humans live on Mars,we humans live on the earth
5711,he added vinegar to his coffee,he added sugar to his coffee
5712,she wants to eat some food because she is full,she wants to eat some food because she is hungry
5713,junk food can make people slimmer,junk food can make people fatter
5714,I sleep on the table every night,I sleep on the bed every night
5715,I opened the window when it rained,I closed the window when it rained
5716,Jack takes his spaceship to work,Jack drives his car to work
5717,It is so hot that he puts on his coat,It is so hot that he takes off his coat
5718,you should see a cook when you feel uncomfortable,you should see a doctor when you feel uncomfortable
5719,the people who have mental issues need someone to fight with,the people who have mental issues need someone to talk to
5720,I go to the police station to see a music drama,I go to the theater to see a music drama
5721,people use clothes to absorb extra ink from a fountain pen,people use blotter to absorb extra ink from a fountain pen
5722,the lady was eating more sweets and snacks to reduce her weight,the lady was eating less sweets and snacks to reduce her weight
5723,monkeys hang out on the sea,monkeys hang out on tree tops
5724,I have compassion for someone that I respect,I have reverence for someone that I respect
5725,"other than water, sugar is the main ingredient in book","other than water, sugar is the main ingredient in soda pop"
5726,I could go to the Antarctic and find an apple tree there,I could go to south africa and find an apple tree there
5727,helping others makes John feel shameful,committing perjury makes John feel shameful
5728,he needed to visit his neighbor before he cooked dinner,he needed to buy groceries before he cooked dinner
5729,the final step for a farmer after making things grow is going to school,the final step for a farmer after making things grow is harvesting
5730,the school serves liquor,the bar serves liquor
5731,a cat usually can fit into a pop-top can,a cat usually can fit into a cardboard box
5732,a swamp is likely to contain a large village,a plain is likely to contain a large village
5733,a traveler keep his clothes in a bowl,a traveler keep his clothes in a suitcase
5734,Jack is swimming in the playground,Jack is swimming in the lake
5735,Mary watched sunrise at yesterday dusk,Mary watched sunrise at yesterday dawn
5736,he hurried to the supermarket to catch the plane,he hurried to the airport to catch the plane
5737,he plays fifa on his shirt,he plays fifa on his computer
5738,she met a penguin in the Arctic,she met a polar bear in the Arctic
5739,my brother is wearing a beautiful skirt,my sister is wearing a beautiful skirt
5740,it is always raining in a desert,it is always raining in a rain forest
5741,he uses his hat to read a book,he uses his glasses to read a book
5742,Peter caught a mouse in the sea,Peter caught a mouse in the house
5743,pear trees drop their fruit to the sky,pear trees drop their fruit to the ground
5744,I learned to play the piano at football class,I learned to play the piano at music class
5745,"while the parents are shopping, their child likes to go to hospital","while the parents are shopping, their child likes to go to toy store"
5746,he usually plays basketball with his feet,he usually plays basketball with his hands
5747,tigers like eating grass,tigers like eating meat
5748,a bird swims in the water,a bird flies in the sky
5749,she was born on September 31th,she was born on September 15th
5750,dogs catch and eat rats,cats catch and eat rats
5751,I sleep 25 hours a day,I sleep 8 hours a day
5752,he was happy when he lost his lover,he was sad when he lost his lover
5753,he gets a bad dream when he is awake,he gets a bad dream when he is asleep
5754,Tom gets passed when he tries to cross a concrete wall,Tom gets knocked when he tries to cross a concrete wall
5755,playing is necessary for people,sleep is necessary for people
5756,Peter makes a law after getting up every day,Peter makes the bed after getting up every day
5757,my mom always asked me to take a vote after the meal in my sick and painful years,my mom always asked me to take the medicine after the meal in my sick and painful years
5758,dad getting up in the early morning of refreshing weather makes me very worried,dad driving at night in complex road conditions makes me very worried
5759,the formerly lonely man feel sad after chatting with friends for hours,the formerly lonely man feel happy after chatting with friends for hours
5760,Tom went to the office to see live entertainment,Tom went to the theatre to see live entertainment
5761,"the man was showing off a wristwatch, he was trying to donate it for drug money","the man was showing off a wristwatch, he was trying to hock it for drug money"
5762,Mary is constantly making up to make her ugly,Mary is constantly making up to make her beautiful
5763,the soldier wears a down jacket to protect himself from a bullet,the soldier wears a body armor to protect himself from a bullet
5764,Sleeping helps one to go forward,Learning helps one to go forward
5765,Debbie buys a ficus and put it in the internet bar,Debbie buys a ficus and put it in the flower garden
5766,my cat really likes being bathed,my cat really dislikes being bathed
5767,the teacher opened up the water bottle and took out the paper clips to arrange and sort papers at her desk,the teacher opened up the left drawer and took out the paper clips to arrange and sort papers at her desk
5768,being nervous is the opposite of being dead,being alive is the opposite of being dead
5769,a pig is flying in the sky,a pigeon is flying in the sky
5770,pandas like eating bomb,pandas like eating bamboo
5771,Jason plays computer games with his lovely dog,Jason goes hiking with his lovely dog
5772,"because he could not finish the assignment, his girlfriend was called to the school by the teacher","because he could not finish the assignment, his parents were called to the school by the teacher"
5773,"Alex is admitted by MIT, which makes his mother very depressed","Alex is admitted by MIT, which makes his mother very proud"
5774,I worked 31 days in February this year,I worked 27 days in February this year
5775,I saw a tree walking yesterday,I saw a tree staying still yesterday
5776,the moon is square tonight,the moon is round tonight
5777,Lilly barbecues fish in the water,Lilly barbecues fish on the ground
5778,I eat my cooked lunch from a dustbin,I eat my cooked lunch from a bowl
5779,I usually read books in the night with light off,I usually read books in the night with light on
5780,I'm searching a chinese word in an english dictionary,I'm searching a chinese word in a chinese dictionary
5781,I wear my right shoe on my left feet,I wear my right shoe on my right feet
5782,I listen to music with my eyes,I listen to music with my ears
5783,I opened my house's door by my car's key,I opened my house's door by my house's key
5784,I drink salt water when I'm thirsty,I drink pure water when I'm thirsty
5785,I wear a coat when I'm hot,I wear a coat when I'm cold
5786,trees usually fall leaves in spring,trees usually fall leaves in autumn
5787,I see the sunshine at night,I see the sunshine in the day
5788,a boy wears high-heeled shoes,a girl wears high-heeled shoes
5789,human has a tail,dog has a tail
5790,I'm happy when I'm insulted,I'm angry when I'm insulted
5791,a fish is walking on the ground,a dog is walking on the ground
5792,I jump with my arms,I jump with my legs
5793,I feel my tears when I'm laughing,I feel my tears when I'm crying
5794,I felt happy when my father passed away,I felt sad when my father passed away
5795,a car is slower than a bike,a car is faster than a bike
5796,there are a lot of teachers in the hospital,there are a lot of patients in the hospital
5797,the slow wind is a catastrophe,the typhoon is a catastrophe
5798,"when somebody is sad ,he will laugh","when somebody is sad, he will cry"
5799,the ice-cream is hot,the ice-cream is cold
5800,I watch radio after dinner,I watch TV after dinner
5801,my brother drink petroleum every day,my brother drink water every day
5802,my friend works 200 hours a week,my friend works 40 hours a week
5803,Sam's hair gradually turns green as he gets older,Sam's hair gradually turns white as he gets older
5804,he pours oil to stop fire,he pours water to stop fire
5805,the earth is smaller than the moon,the earth is smaller than the sun
5806,a boat is sailing in the sky,a boat is sailing on the sea
5807,an old cock lay an egg,an old hen lay an egg
5808,he likes eating volleyballs in summer,he likes eating watermelons in summer
5809,he breathes air in space,he breathes air on the earth
5810,"though he's blind, he often reads books","though he's deaf, he often reads books"
5811,he's energetic after playing an exciting basketball game,he's tired after playing an exciting basketball game
5812,there's much water in the desert,there's much sand in the desert
5813,lake runs from a place to another,river runs from a place to another
5814,I draw pictures by cigarette,I draw pictures by pencil
5815,I get good grades because I don't study at all,I get good grades because I study hard
5816,a butterfly used to be an egg,a butterfly used to be a caterpillar
5817,ice will change into steam when it melts,ice will change into water when it melts
5818,Peter barbecues meat with water,Peter barbecues meat with fire
5819,he worked in Africa for 13 months last year,he worked in Africa for 6 months last year
5820,zebras are in white color only,zebras are in white and black color
5821,I walk on the water,I walk on the ground
5822,She feels so sleepy when she is watching a interesting film,she feels so sleepy when she is watching a boring film
5823,I feel more than proud to be found to fart in public,I feel embarrassed to be found to fart in public
5824,he feeds his house every day,he feeds his horse every day
5825,I go across the river by sheep,I go across the river by ship
5826,you will go south when you follow Polaris,you will go north when you follow Polaris
5827,the viruses are good for health,the exercise is good for health
5828,we can hear with our nose,we can hear with our ears
5829,the mirrors are transparent,the glasses are transparent
5830,pencil is made of iron,hammer is made of iron
5831,there are many kinds of sun,there are many kinds of books
5832,the bicycles use electric power,the smart phones use electric power
5833,strangers are close to us,family members are close to us
5834,fossil energy is clean,nuclear power is clean
5835,a digital watch has pointers,a mechanical watch has pointers
5836,many people's skin is blue,many people's skin is black
5837,frenches use dollars,americans use dollars
5838,a plane can swim in the sea,a plane can fly in the sky
5839,private car is a kind of public transport carrier,bus is a kind of public transport carrier
5840,paper would be dry in water,paper would be wet in water
5841,Bob got angry when he passed the exam,Bob got happy when he passed the exam
5842,he eats a durian without peeling,he eats an apple without peeling
5843,he drives his ship on the road,he drives his car on the road
5844,I built a house on the moon,I built a house on the earth
5845,the water turns to ice under the sun,the ice turns to water under the sun
5846,Henry became happy after he shot an own goal,Henry became sad after he shot an own goal
5847,he plays football with his hands,he plays football with his feet
5848,I bought a T-shirt in a restaurant,I bought a T-shirt in a toggery
5849,cell phones are everywhere on a beach,sand is everywhere on a beach
5850,Jane plays cards with his dog,Jane plays cards with his roommate
5851,he kissed the burglar who robbed him,he beat the burglar who robbed him
5852,mom feels happy that I forgot her birthday,mom feels depressed that I forgot her birthday
5853,today's hard work can change the history,today's hard work can change the future
5854,he invited his guests to a nearby hospital for dinner,he invited his guests to a nearby restaurant for dinner
5855,this chocolate can memorize million bits of information,this chip can memorize million bits of information
5856,I saved my money to the trash can,I saved my money to the bank
5857,most people become more energetic after excessive bleeding,most people become more tired after excessive bleeding
5858,books are usually made of feathers,books are usually made of paper
5859,a hamburger usually contains stone,a hamburger usually contains vegetables
5860,I'm thirsty for french fries,I'm thirsty for cola
5861,I put my teacher into my backpack after class,I put my computer into my backpack after class
5862,a cow can live in a river,a fish can live in a river
5863,Tom prepares to light the table for illumination after the power outage,Tom prepares to light the candle for illumination after the power outage
5864,brother likes to watch music before sleeping,brother likes to watch films before sleeping
5865,Jack took some ice from the stove,Jack took some ice from the fridge
5866,people like who are rude trouble-makers,people like who are kind and understanding
5867,most kids hate toys,most kids love toys
5868,a pair of sneakers has 3 big holes,a pair of pants has 3 big holes
5869,a man can easily see the sun at night,a man can easily see the moon at night
5870,his mother got satisfied after he failed in the chemistry exam,his mother got angry after he failed in the chemistry exam
5871,my brother drinks sewage before sleeping every day,my brother drinks milk before sleeping every day
5872,the earth is approximately quadrate,the earth is approximately round
5873,I swim to the other side of the mountain,I swim to the other side of the river
5874,man took a walk at the boundary the Milky Way,man took a walk at the boundary of the forest
5875,"when the traffic light is red, we can pass the road","when the traffic light is green, we can pass the road"
5876,we can borrow money from a toilet,we can borrow money from a bank
5877,we can design pictures with an earphone,we can design pictures with a computer
5878,we open our eyes when we sleep,we open our eyes when we watch
5879,there are lots of pens in a book,there are lots of words in a book
5880,robot will die if they don't eat food,human will die if they don't eat food
5881,smart phones can play basketball,smart phones can play music
5882,we use chairs when it rains,we use umbrella when it rains
5883,we become younger when the time pass,we get older when the time pass
5884,we can scream in a library,we can read books in a library
5885,the rubbish is fragrant,the flower is fragrant
5886,there are lots of mountains in the ocean,there are lots of mountains on the continent
5887,there are some fish on the tree,there are some birds on the tree
5888,Jack keeps still when he jumps from a building,Jack drops when he jumps from a building
5889,"when the sun falls down, people wake up","when the sun rises up, people wake up"
5890,leaves are usually yellow in summer,leaves are usually green in summer
5891,bus can fly in the air,airplane can fly in the air
5892,liquor usually can refresh someone,coffee usually can refresh someone
5893,I can use my phone to swim with my friends,I can use my phone to call up my friends
5894,John gets married with his elder sister,John gets married with his best friend
5895,Tom's body gets shorter as he grows up,Tom's body gets taller as he grows up
5896,he saw a strawberry in black color,he saw a strawberry in red color
5897,he got excited when his friends betrayed him,he got angry when his friends betrayed him
5898,his teeth are ill because he often brushes them,his teeth are ill because he has eaten too many sweets
5899,he turns on the light and then the house gets dark,he turns on the light and then the house gets bright
5900,my neighbor is 500 years old,my neighbor is 100 years old
5901,he is praised due to his criminal deed,he is praised due to his kind deed
5902,having a bad cold makes Cindy enjoyable,having a bad cold makes Cindy suffering
5903,we keep in touch by sleeping,we keep in touch by writing letters
5904,monkeys like eating humans,monkeys like imitating humans
5905,we take lessons in toilet,we take lessons in school
5906,staying up makes one excited,staying up makes one sleepy
5907,I stop my car when the traffic light turns green,I stop my car when the traffic light turns red
5908,Tim fell asleep because of the interesting TV show,Tim fell asleep because of the boring TV show
5909,"when one gets cold, he can take some stomach medicine","when one gets cold, he can take some anti-cold medicine"
5910,people like to eat bread which has mildewed,people cannot eat bread after it becomes mildewed
5911,the boss got happy because his clerk had lost an important file,the boss got angry because his clerk had lost an important file
5912,he received the offer to the world top university because of his really bad grades,he received the offer to the world top university because of his really good grades
5913,I eat more to lose weight,I go on a diet to lose weight
5914,"if you're busy now, I'd like to ask you some questions","if you don't mind, I'd like to ask you some questions"
5915,"it's too sunny outside, so we have no need of sunscreen","it's too sunny outside, so we have to apply sunscreen"
5916,she was full so she wolfed down eagerly,she was full so she politely refused the food
5917,he felt so hot that he turned off the air-conditioner,he felt so hot that he turned on the air-conditioner
5918,his handwriting is terrible so he should play a lot,his handwriting is terrible so he needs more practice
5919,I'm less short of my breath when I quicken my pace,I'm more short of my breath when I quicken my pace
5920,I took off my coat in the cold wind,I put up my coat in the cold wind
5921,put a basin on his face to wash his face,put a towel on his face to wash his face
5922,Jack jumps up the cliff,Jack jumps off the cliff
5923,rides a pigeon to cross the mountains,rides a helicopter to cross the mountains
5924,puts a computer into a pan and cooks it,puts an egg into a pan and cooks it
5925,"Saying ""good evening"", he waved his teacher warmly at dawn when he arrived the school","Saying ""good morning"", he waved his teacher warmly at dawn when he arrived the school"
5926,Jay feels grieved seeing his kind mother,Jay feels pleased seeing his kind mother
5927,I am short so I have an advantage in model show,I am tall so I have an advantage in model show
5928,I do well in math courses so I do well in history courses,I do well in math courses and I do well in history courses
5929,John determines to grow taller so she eats less,John determines to grow taller so she eats more
5930,I washed up my quilt at the hotel,I covered my quilt at the hotel
5931,I was encouraged by him so I broke up with him,I was encouraged by him so I had better friendship with him
5932,Jay played hard to finish the assignment,Jay worked hard to finish for the assignment
